choco_bar_name,company_name,rating,comapany_loc,cocoa_perc,bean_type,bean_origin,company_flavor,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Trincheras 70%,Rózsavölgyi,4.5,Hungary,70.0,decent,Venezuela,Naked,76.0,64.0,41.0,36.0,48.0,56.0,71.0,84.0,79.0,82.0,91.0,79.3,94.8,94.0
Andino 75%,Marañón Canyon,3.0,Peru,75.0,Nacional,Peru,Twang,48.0,49.0,87.0,29.0,54.0,78.0,56.0,46.0,81.0,68.0,91.0,86.0,84.6,81.0
Nacional,Marañón Canyon,5.0,Peru,,Nacional,Peru,Fruits,19.0,76.0,81.0,44.0,1.0,76.0,51.0,55.0,77.0,78.0,81.0,95.3,96.0,96.0
White Nacional,Marañón Canyon,4.5,Peru,,"""Porcelana""",Peru,Earthen,46.0,62.0,36.0,34.0,1.0,51.0,47.0,84.0,49.0,84.0,87.0,85.3,92.2,97.0
Stud-54,Marañón Canyon,5.0,Peru,,Nacional,Peru,Earthen,46.0,44.0,39.0,42.0,1.0,50.0,64.0,81.0,58.0,96.0,81.0,93.3,96.6,97.5
60%,Fortaleza del Valle,3.0,Ecuador,60.0,partial,Ecuador,Crossover,54.0,67.0,49.0,18.0,68.0,56.0,62.0,11.0,76.0,46.0,81.0,62.7,91.8,75.5
82%,Grenada Chocolate Company,2.0,Grenada,82.0,Amazon,Grenada,Earthen,42.0,24.0,22.0,67.0,72.0,76.0,30.0,41.0,68.0,68.0,87.0,79.3,72.4,60.5
Nib-a-licious,Grenada Chocolate Company,0.0,Grenada,60.0,Amazon,Grenada,Fruits,81.0,78.0,62.0,36.0,72.0,85.0,76.0,91.0,84.0,84.0,79.0,91.3,95.6,91.5
Nyangbo,Valrhona,2.0,France,68.0,Amelonado,Ghana,Naked,57.0,52.0,32.0,46.0,72.0,64.0,42.0,61.0,58.0,82.0,78.0,69.3,68.4,74.5
Kokos,Zotter,4.0,Austria,32.0,Hybrid,Dominican Republic,Naked,58.0,91.0,8.0,4.0,50.0,76.0,71.0,87.0,70.0,82.0,84.0,94.0,90.0,91.5
Soja,Zotter,3.5,Austria,40.0,,Nicaragua,Spices,41.0,84.0,50.0,11.0,59.0,88.0,71.0,66.0,81.0,70.0,97.0,79.3,88.0,89.0
Stutenmilch,Zotter,2.5,Austria,57.0,,Nicaragua,Earthen,27.0,91.0,42.0,22.0,48.0,84.0,55.0,16.0,72.0,94.0,82.0,70.7,81.6,71.5
Ziegenmilch,Zotter,4.0,Austria,45.0,,Nicaragua,Earthen,56.0,43.0,31.0,40.0,64.0,76.0,62.0,71.0,67.0,86.0,86.0,86.7,88.2,93.5
Schafmilch,Zotter,3.0,Austria,42.0,Blend,Nicaragua,Sugar,28.0,89.0,33.0,34.0,61.0,77.0,56.0,68.0,76.0,94.0,84.0,85.3,84.2,79.5
Brazil,Åkesson's,3.0,Sweden,75.0,Parasinho,Brazil,Earthen,50.0,41.0,52.0,57.0,77.0,54.0,48.0,71.0,49.0,88.0,81.0,92.0,80.6,78.5
White,Amano,2.5,USA,,,,Naked,49.0,52.0,11.0,14.0,56.0,54.0,27.0,18.0,76.0,78.0,53.0,71.3,80.2,79.0
100%,Rancho San Jacinto,2.0,Ecuador,100.0,CCN-51,Ecuador,Earthen,61.0,16.0,8.0,58.0,76.0,55.0,23.0,62.0,64.0,14.0,76.0,60.7,80.8,74.0
