choco_bar_name,company_name,company_loc,rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Chulucanas Riverbend Malted Milk Chocolate,French Broad,USA,5.0,45.0,22.0,76.0,54.0,31.0,55.0,62.0,78.0,86.0,76.0,96.0,83.0,93.3,92.4,93.5
Balao,Ritual,USA,2.5,75.0,34.0,38.0,27.0,63.0,76.0,62.0,48.0,46.0,71.0,96.0,79.0,80.0,80.4,74.5
Balao 75%,Rogue,USA,4.5,75.0,34.0,40.0,22.0,36.0,54.0,70.0,46.0,47.0,48.0,96.0,86.0,86.7,92.8,89.5
Bubbie's Almond Bar,French Broad,USA,0.5,75.0,19.0,53.0,79.0,36.0,55.0,76.0,27.0,14.0,52.0,94.0,89.0,84.0,50.2,42.0
Special Reserve,CariBeans,Costa,3.5,72.0,66.0,54.0,11.0,30.0,62.0,64.0,23.0,81.0,65.0,80.0,82.0,93.3,87.4,80.5
Dark Chocolate with Cocoa Nibs,Moho,Belize,3.0,73.0,19.0,59.0,52.0,41.0,50.0,47.0,48.0,45.0,51.0,88.0,86.0,81.3,86.6,74.5
Gran Couva,Ritual,USA,4.0,75.0,19.0,41.0,36.0,54.0,56.0,58.0,62.0,66.0,69.0,96.0,79.0,80.7,90.6,88.5
Milk Chocolate,Moho,Belize,4.0,44.0,41.0,63.0,19.0,16.0,52.0,57.0,44.0,80.0,76.0,76.0,80.0,96.7,89.8,88.5
85%,Q Aquim,Brazil,3.0,85.0,34.0,46.0,28.0,36.0,48.0,33.0,31.0,71.0,66.0,48.0,72.0,72.0,93.0,78.5
80%,Q Aquim,Brazil,3.0,80.0,34.0,46.0,31.0,26.0,48.0,42.0,34.0,60.0,61.0,62.0,75.0,86.7,87.8,80.5
75%,Q Aquim,Brazil,2.5,75.0,23.0,42.0,34.0,17.0,48.0,34.0,34.0,46.0,76.0,46.0,68.0,82.0,83.4,76.0
Milk Chocolate with Cocoa Nibs,Moho,Belize,5.0,52.0,48.0,77.0,46.0,23.0,52.0,76.0,84.0,96.0,76.0,88.0,93.0,92.7,96.2,91.5
65%,Q Aquim,Brazil,3.0,65.0,34.0,54.0,36.0,43.0,59.0,54.0,37.0,55.0,58.0,64.0,65.0,81.3,87.8,88.5
60%,Q Aquim,Brazil,3.5,60.0,38.0,57.0,38.0,37.0,56.0,48.0,42.0,61.0,56.0,70.0,64.0,86.0,87.2,90.0
55%,Q Aquim,Brazil,3.0,55.0,34.0,64.0,34.0,17.0,56.0,36.0,39.0,57.0,52.0,70.0,71.0,82.0,86.0,89.0
Blanco de Criollo,Amedei,Italy,4.5,70.0,91.0,72.0,11.0,42.0,76.0,64.0,15.0,91.0,76.0,58.0,93.0,92.0,93.8,90.0
San Juan de Cheni,Scharffen Berger,USA,4.0,78.0,34.0,30.0,44.0,41.0,52.0,54.0,56.0,58.0,67.0,90.0,88.0,80.0,90.8,85.5
Gabon,Bonnat,France,3.5,75.0,44.0,51.0,29.0,34.0,56.0,42.0,34.0,80.0,68.0,96.0,83.0,84.7,89.6,81.0
